"album_id","album_name","artist_name"
"58ufb71YaU1PetJKQGqSd2","CAN YOU IMAGINE?","Elevation Worship"
"4nbO0YqSnVRhOwHEKxJSrY","Not My Fault (with Megan Thee Stallion)","Reneé Rapp"
"3x3G6TKWWgRS1vWp03FoNb","Mr Beat The Road","BossMan Dlow"
"6TlmemKiRPS6uxpOPug4Pk","Sundress","A$AP Rocky"
"1KTvTGon7YPfnAAEGnSHBc","three twenty four","Ole 60"
"0SqUi6bPIlAaWfvZibBfia","Santa","Rvssian"
"3Dx1IXTwJVIMkEzVMSSSrp","Restless Mind","Sam Barber"
"42eRSINaWEzBXj7aqTB2cu","Carry You Home","Alex Warren"
"62g7jm7YqkuQOhfhFpDQXC","Make You Mine","Madison Beer"
"3B38AH4XMqDiI9W2Yd6mDT","Livin' My Best Life (Still)","Dylan Scott"
"0QZVRL2HC24voXfxWmpHvd","Madonna","Natanael Cano"
"4qSFCfqrmdQ7OOnPeUsjoz","Rise & Fall","Scotty McCreery"
"1CTk9dG2nyaUovNIQfBzqb","PARTYNEXTDOOR 4 (P4)","PARTYNEXTDOOR"
"0lmXfHj3QJAZBpoY9jdEbV","Valedictorian [Deluxe]","ian"
"1ZVJTCW5rxpHKNgsNL91J2","LVEU: VIVE LA TUYA...NO LA MIA","Myke Towers"
"7EPrkhjTBrwAV8yAKCmY0Y","LOOM","Imagine Dragons"
"4xgkNyFFCIWLi8RC6dTlCR","That's Who I Praise","Brandon Lake"
"0RRvy9tpjR19zKnM0xhRW4","Finesse (feat. GloRilla)","BossMan Dlow"
"1bWcE0tKOJgn4kgpNKSHU0","NEXT","Xavi"
"6qjHXAoCQWAwOwOCjdSvEN","Relapse","Warren Zeiders"
"44yxISpANzuf2BjTNYSUcF","How We Roll","Ciara"
"1kZGpaXOeB48TPT2JatjvC","SORRY 4 THAT MUCH","Feid"
"1mOzqonHplZ7XxhwNtDbBp","Sugar Honey Iced Tea","Latto"
"2GfGGlindjNS4kkZinqKdA","Tacata (Remix)","Tiagz"
"4stkWK5jMzF3Xhc2nWWeiI","Fisherrr","Cash Cobain"
"4IVSV1IByIcwE9lUOz1Tzn","Fisherrr (Remix)","Cash Cobain"
"70BE6eI8lobLbKkvoRnNrG","THE BIGGEST","BigXthaPlug"
"3KPOdANPLDWwF0U4TOzjrK","Descendants: The Rise of Red (Original Soundtrack)","Kylie Cantrall"
"6cWVXZCgpDJhvFOqB6o0DP","TYLA","Tyla"
"0k68jcBxrsqFzgvAVteo92","JOYRIDE.","Kesha"
"4bH2fufFWKIdtVbOI8em1u","if u think i'm pretty","Artemas"
"6B0uhVWdfDKV35fapjoolM","Radical Optimism","Dua Lipa"
"7Ic1aiLXMmyyi0cVkk04aS","COMING HOME","USHER"
"6U6AwUuoxscav9cG7yQ5n9","MESSED UP AS ME","Keith Urban"
"1Ne8C5bVruTcocMzKUPDbq","Welcome 2 Collegrove","2 Chainz"
"75aoMsurZ5cJC0xZ1CsYBJ","Texas","BigXthaPlug"
"3nXgYu1LTKBflY7ES8WEdo","Unaired","Hozier"
"601IEigQO3enlyrbn4SpNM","Friendly Fire","Linkin Park"
"39k5K82qRoDYB1SLqLwLYy","Lady Killers II","G-Eazy"
"79S52DbQr4rfVJ3LUkC2P7","Boys Back Home","Dylan Marlowe"
"3zu0hJJew2qXZNlselIQk8","Pa las Baby's Y Belikeada","Fuerza Regida"
"75XYL9gBsRC8wWbmbtzQHh","Boogieman","EBK Jaaybo"
"5Pj0xqgA9D5lJ8ZQuAe3ft","Von dutch a. g. cook remix featuring addison rae","Charli xcx"
"05jbNkYoEQdjVDHEHtg1gY","Don't Forget About Me, Demos","Dominic Fike"
"0EhZEM4RRz0yioTgucDhJq","How Sweet","NewJeans"
"1beK8FLMznalelPYVW3ZeS","Aquamarine","Addison Rae"
"2Z3lIfc06B7YV1ZN9oZCdS","Twisters: The Album","Lainey Wilson"
"6UEGp3MQnsKoK9rwKcKBUo","LIFETIMES","Katy Perry"
"7DTTXmNJFIXdf5QyA0Y9JX","Strong Enough","Jonas Brothers"
"6uHcRBlMpgXSXv0I0rpxBx","Ego","Halsey"
"1hjqg3TuQ2YqooaPhxHwdv","Touch","KATSEYE"
"0XSC4BVMGrT5ewWnpIcwak","Karma","JoJo Siwa"
"53IEOx1fqwy7HEVpfElZv3","Back to your Place","October London"
"0ZdvmKuGdMusb7B0qqVEio","Everything is romantic featuring caroline polachek","Charli xcx"
"6M2PMiBa5zM37GQChwBHA6","Bling-Bang-Bang-Born","Creepy Nuts"
"3pREnOwWzy0GqsOoum2LsZ","Prada (feat. D-Block Europe) [Clean]","cassö"
"66k6EGkPtYoN44anGIsEPW","Si No Estás","iñigo quintero"
"6Msc3BwzKZ5f5FXmKuUSu6","Perfect Night","LE SSERAFIM"
"2HxzXLKO0AvkScWYHSspQc","Stumblin' In","CYRIL"
"2aj8dhy2wfAtzBwh0bYuQc","The Sound of Silence (CYRIL Remix)","Disturbed"
"4M8ThNHbNjda2cPwL8XZHS","Move","Adam Port"
"1FVw30SoC91lq1UZ6N9rwN","Supernatural","NewJeans"
"1J7XItLnNLegigdh4AjGKN","Thank You (Not So Bad)","Dimitri Vegas & Like Mike"
"5sufLQAlJG3TnaZ1EgfqzB","HIND'S HALL","Macklemore"
"3USnuRvSzhPtYAYoz0xgvN","I'm So Good At Being Alone?","Knox"
"7vHCtWdSyt3M4u2QY7prmt","A Symptom Of Being Human (Pop Remix)","Shinedown"
"4oEzeXL8AFv8FcX7vGhw1U","Seasons","Thirty Seconds To Mars"
"6z4pHWfbnVhZSu8uwKTTic","Been Like This","Meghan Trainor"
"4Hts747rEqyEeeBpK63iz3","Yes I'm A Mess","AJR"
"0s4zD8vllWCAJkZ3elBFuf","XXL","LANY"
"22B2vyeQD9MWvsuLDU3yCt","This Is Me...Now","Jennifer Lopez"
"6pngQ1BGnsddTXtAJQUkF7","Favorite","Isabel LaRosa"
"0Tu7Vpu49X7oduL2AVbKZq","Sincere","Khalid"
"5uHec78hB0kCFthoQL8ZnO","Bad Feeling (Oompa Loompa)","Jagwar Twin"
"0qqZ6HD72So93exL9rH7zi","VENUS","Zara Larsson"
"7hYLel5p7npCbhAbkaGqvW","Genesis.","RAYE"
"2Y5gD74jkosItJIdpWrhHl","Drift Back","Phillip Phillips"
"4jLwuz6VaUKuIiS799cU2z","Gimme Love","Sia"
"5P0hRYIH6ZpS92LjqyRXuh","Fearless (The Echo)","Jackson Dean"
"3Ca8JBhNiiE2bsPDwsxOdV","Sounds Like The Radio","Zach Top"
"575dPLrl892d2TGGeZHDj8","Poet’s Resumé","Tim McGraw"
"3PUA3xAHTsDAp11oAb33Mv","Memory Lane","Old Dominion"
