album_id,album_name,label,external_link,album_image,artist_name,genre
7GZwgBHhaazZ2QnrvbpDPO,COMING HOME (Expanded Edition),"HighValleys&LowPeaks, LLC, under exclusive license to mega/gamma.",https://open.spotify.com/album/7GZwgBHhaazZ2QnrvbpDPO,https://i.scdn.co/image/ab67616d0000b273e08ef646ad282f17855bfef5,USHER,contemporary r&b
7luH8lI8B6c4r3TxLJ2aU1,act ii: date @ 8 (feat. Drake) [remix],4batz / OVO Sound,https://open.spotify.com/album/7luH8lI8B6c4r3TxLJ2aU1,https://i.scdn.co/image/ab67616d0000b273612543615ab7c221057cbf10,4batz,contemporary r&b
4BnCr0behKaGscMMhpiHX7,That Ain't No Man That's The Devil,Columbia,https://open.spotify.com/album/4BnCr0behKaGscMMhpiHX7,https://i.scdn.co/image/ab67616d0000b273fde00a1444ea8c3ff01d4547,Jessie Murph,pop
4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,Rimas Entertainment LLC,https://open.spotify.com/album/4FftCsAcXXD1nFO9RFUNFO,https://i.scdn.co/image/ab67616d0000b2732ea1f035463d11e1fc3b193d,Bad Bunny,latin trap
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,OVO/Republic,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO,https://i.scdn.co/image/ab67616d0000b273e286ee36b4015afa8832356a,Drake,hip hop
3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,Island Records,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,Sabrina Carpenter,pop
4i3ay5RKpdmJok8zazCdlf,Never Enough,MCA Nashville,https://open.spotify.com/album/4i3ay5RKpdmJok8zazCdlf,https://i.scdn.co/image/ab67616d0000b2730fe330862c62782c7044f044,Parker McCollum,country
19DGbjQW4oJmS1TLmr7OH3,Religiously. The Album.,Warner Music Nashville/Elektra,https://open.spotify.com/album/19DGbjQW4oJmS1TLmr7OH3,https://i.scdn.co/image/ab67616d0000b2730c5d03daf39f254bb546cf3a,Bailey Zimmerman,country
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,Darkroom/Interscope Records,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,Billie Eilish,pop
5eA2VJ0yeiU4kXz1zvuMro,Pink Friday 2 (Gag City Deluxe),Republic Records,https://open.spotify.com/album/5eA2VJ0yeiU4kXz1zvuMro,https://i.scdn.co/image/ab67616d0000b273880b3c7370f10774587a7942,Nicki Minaj,hip hop
2WSeZEFsZKPJQ09abZCIaz,NATE SMITH (DELUXE),RCA Records Label Nashville,https://open.spotify.com/album/2WSeZEFsZKPJQ09abZCIaz,https://i.scdn.co/image/ab67616d0000b27349c8e3c7cfd43b5458b9b79d,Nate Smith,country
6WlGOgNNtpwFt2gfRFfqgZ,JAGUAR II,Lovett Music/RCA Records,https://open.spotify.com/album/6WlGOgNNtpwFt2gfRFfqgZ,https://i.scdn.co/image/ab67616d0000b273d03c8d74d7f963dee63ef893,Victoria Monét,funk
5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,Republic Records,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4,Ariana Grande,pop
0OUOx6rJXtL66AzTnP9KUE,THINK LATER,RCA Records Label,https://open.spotify.com/album/0OUOx6rJXtL66AzTnP9KUE,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,Tate McRae,alternative r&b
4uQSVr1aW5JQIU1DmBXesv,Waves On A Sunset,Tucker Wetmore,https://open.spotify.com/album/4uQSVr1aW5JQIU1DmBXesv,https://i.scdn.co/image/ab67616d0000b273201038e1f96d823bbe379336,Tucker Wetmore,country
5pQs8l0kyftlASrbXp0KU3,California Gold,RCA Records Label Nashville,https://open.spotify.com/album/5pQs8l0kyftlASrbXp0KU3,https://i.scdn.co/image/ab67616d0000b27317240d108cc177450f8558c1,Nate Smith,country
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,Cactus Jack/Epic,https://open.spotify.com/album/18NOKLkZETa4sWwLMIm0UZ,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,Travis Scott,hip hop
5CLwcVp4tfZqwxHLr77dnY,Leather,CoJo Music/Warner Music Nashville,https://open.spotify.com/album/5CLwcVp4tfZqwxHLr77dnY,https://i.scdn.co/image/ab67616d0000b273df528704497530d292a0255f,Cody Johnson,country
5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,https://open.spotify.com/album/5H7ixXZfsNMGbIE5OBSpcb,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,Taylor Swift,folk pop
7aJuG4TFXa2hmE4z1yxc3n,HIT ME HARD AND SOFT,Darkroom/Interscope Records,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,Billie Eilish,pop
7g0PJ7VbsOkYTECUFkyNPN,One of Wun,300 Entertainment,https://open.spotify.com/album/7g0PJ7VbsOkYTECUFkyNPN,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5,Gunna,hip hop
1U0Z7QjSzlg3gMeUOuUldz,The Great American Bar Scene,Warner Records,https://open.spotify.com/album/1U0Z7QjSzlg3gMeUOuUldz,https://i.scdn.co/image/ab67616d0000b273647ad18a07e9e939e399e5a1,Zach Bryan,country
2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,Dead Oceans,https://open.spotify.com/album/2Cn1d2KgbkAqbZCJ1RzdkA,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,Mitski,orchestral pop
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,Chappell Roan PS/ Island,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,Chappell Roan,synthpop
0nhSn0jmZlFvdPrz7vr2UP,A Jaguar's Dream,300 Entertainment,https://open.spotify.com/album/0nhSn0jmZlFvdPrz7vr2UP,https://i.scdn.co/image/ab67616d0000b273c5b0e46a5685c7f1c465c0bf,Jordan Adetunji,drill
5CLwcVp4tfZqwxHLr77dnY,Leather,CoJo Music/Warner Music Nashville,https://open.spotify.com/album/5CLwcVp4tfZqwxHLr77dnY,https://i.scdn.co/image/ab67616d0000b273df528704497530d292a0255f,Cody Johnson,country
4dUAojdnh5Bcho1n8bPSO0,GLORIOUS,CMG/Interscope Records,https://open.spotify.com/album/4dUAojdnh5Bcho1n8bPSO0,https://i.scdn.co/image/ab67616d0000b273083fbaed50f66e8849b264cc,GloRilla,trap
5ylbxH7EqpsmHZCRuiYewS,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,https://open.spotify.com/album/5ylbxH7EqpsmHZCRuiYewS,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,KAROL G,reggaeton
3egFmnuKrjoMAlqCfdw7KH,I've Tried Everything But Therapy (Part 1.5),Warner Records,https://open.spotify.com/album/3egFmnuKrjoMAlqCfdw7KH,https://i.scdn.co/image/ab67616d0000b27345bef9b7638973c80f610598,Teddy Swims,pop
5DvJgsMLbaR1HmAI6VhfcQ,Endless Summer Vacation,Columbia,https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,Miley Cyrus,dance-pop
5YXocog13Ei8qItXxiQxsX,American Romance,Warner Records,https://open.spotify.com/album/5YXocog13Ei8qItXxiQxsX,https://i.scdn.co/image/ab67616d0000b27342ffc60d01b98babfee2abcd,Michael Marcagi,americana
4rJDCELWL0fjdmN9Gn4f4g,The Forever Story (Extended Version),Dreamville/Interscope,https://open.spotify.com/album/4rJDCELWL0fjdmN9Gn4f4g,https://i.scdn.co/image/ab67616d0000b273cae6e44dcc84e2035c3ad092,JID,southern hip hop
55Rk02ZSULPUfrW41zjWx9,SPEAK NOW,CMG/N-Less/Interscope Records,https://open.spotify.com/album/55Rk02ZSULPUfrW41zjWx9,https://i.scdn.co/image/ab67616d0000b27323f68790c67fdd51ecd87f2f,Moneybagg Yo,trap
1pnm9zBlblhTRlE46ItLzU,CAN'T RUSH GREATNESS,Columbia,https://open.spotify.com/album/1pnm9zBlblhTRlE46ItLzU,https://i.scdn.co/image/ab67616d0000b273d531f45a2948d22e5c5ff66f,Central Cee,uk drill
5EYKrEDnKhhcNxGedaRQeK,eternal sunshine,Republic Records,https://open.spotify.com/album/5EYKrEDnKhhcNxGedaRQeK,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4,Ariana Grande,pop
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,Chappell Roan PS/ Island,https://open.spotify.com/album/0EiI8ylL0FmWWpgHVTsZjZ,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,Chappell Roan,synthpop
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,OVO/Republic,https://open.spotify.com/album/4Q7cRXio6mF2ImVUCcezPO,https://i.scdn.co/image/ab67616d0000b273e286ee36b4015afa8832356a,Drake,hip hop
6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,Big Loud Records / Mercury Records / Republic Records,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,Morgan Wallen,country pop
5DvJgsMLbaR1HmAI6VhfcQ,Endless Summer Vacation,Columbia,https://open.spotify.com/album/5DvJgsMLbaR1HmAI6VhfcQ,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,Miley Cyrus,dance-pop
07w0rG5TETcyihsEIZR3qG,SOS,Top Dawg Entertainment/RCA Records,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,SZA,pop
1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),Taylor Swift,https://open.spotify.com/album/1fnJ7k0bllNfL1kVdNVW1A,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,Taylor Swift,dream pop
7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,Republic Records,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP,https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89,Metro Boomin,trap
0nayxjaX54Frd7GsZq6Pbs,Rave & Roses Ultra,Mavin Records / Jonzing World,https://open.spotify.com/album/0nayxjaX54Frd7GsZq6Pbs,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7,Rema,afrobeat
0YF085Qdh4HgdhZ8zjWkpo,Die For You,XO / Republic Records,https://open.spotify.com/album/0YF085Qdh4HgdhZ8zjWkpo,https://i.scdn.co/image/ab67616d0000b2738b5a9e7c56f01bec356de9d5,The Weeknd,contemporary r&b
